YTID, start_seconds, end_seconds, positive_labels
1PajbAKd8Kg, 0.0, 10.0, /m/01b_21
1e3_ucOz0Ik, 20.0, 30.0, /m/01b_21,/m/09x0r,/m/0dl9sf8,/m/0ytgt
1jc3YPwYfC4, 220.0, 230.0, /m/01b_21,/m/09x0r
2I2IzXnhmtc, 120.0, 130.0, /m/01b_21
2ZfwEg4JaiU, 0.0, 10.0, /m/01b_21,/m/04rlf,/m/09x0r
4EiskLYtkO4, 0.0, 10.0, /m/01b_21
4WLF2CT0eCM, 40.0, 50.0, /m/01b_21
58jMS3K5iMo, 130.0, 140.0, /m/01b_21,/m/04rlf,/m/09x0r
8N5XxcJ7QOU, 20.0, 30.0, /m/01b_21,/m/04rlf,/m/07yv9,/m/09x0r,/m/0dl9sf8,/m/0k4j
8l8ghk2CDbE, 190.0, 200.0, /m/01b_21,/m/09x0r
DXUmi-gSRww, 10.0, 20.0, /m/01b_21,/m/068hy,/m/0bt9lr,/m/0jbk
DkCIFy4OWno, 10.0, 20.0, /m/01b_21,/m/09x0r
EBwiCVS_gBs, 40.0, 50.0, /m/01b_21,/m/01hsr_,/m/068hy,/m/0bt9lr,/m/0jbk
EX0ZF-jNWIg, 190.0, 200.0, /m/01b_21,/m/0dl9sf8
FTePTiRR_tA, 60.0, 70.0, /m/01b_21,/m/07mzm6
Fu8Ze7MgXb4, 40.0, 50.0, /m/01b_21,/m/09x0r
GbD3F5S_4cQ, 160.0, 170.0, /m/01b_21,/m/01hsr_,/m/02p3nc
IN6FFTlq_8c, 50.0, 60.0, /m/01b_21,/m/09x0r
J6_hvIunXnU, 0.0, 10.0, /m/01b_21,/m/04rlf,/m/07pjwq1,/m/09x0r
K7k1tH72E4k, 130.0, 140.0, /m/01b_21
M6bs_l-76uw, 60.0, 70.0, /m/01b_21,/m/0dl9sf8
Maul1ExUbfk, 20.0, 30.0, /m/01b_21,/m/068hy,/m/09x0r,/m/0bt9lr,/m/0jbk
MoXvWqQ2v38, 300.0, 310.0, /m/01b_21,/m/03q5_w,/m/09x0r
Nihn9j68pBE, 10.0, 20.0, /m/01b_21
ObbEE5JoDJE, 30.0, 40.0, /m/01b_21,/m/01j3sz,/m/07sq110,/m/09x0r
P4Vp5cMKjL0, 70.0, 80.0, /m/01b_21,/m/04rlf,/m/09x0r,/m/0ytgt
PCRY7zF-Oyg, 120.0, 130.0, /m/01b_21,/m/01j3sz
PQ1NJa6U_Mc, 120.0, 130.0, /m/01b_21,/m/09x0r
QQouRzOM9BM, 20.0, 30.0, /m/01b_21
R0AJ_4W0f8k, 0.0, 10.0, /m/01b_21
SQei2xJFNpk, 310.0, 320.0, /m/01b_21,/t/dd00125
UZa8hjP92GM, 20.0, 30.0, /m/01b_21,/m/09x0r
VGUn3tueVLE, 400.0, 410.0, /m/01b_21,/m/04rlf,/m/09x0r
VdaTqi6O4d0, 10.0, 20.0, /m/01b_21,/m/04rlf,/m/0dl9sf8
YTP7YMaEm1s, 20.0, 30.0, /m/01b_21
ZBzNxwQk9XE, 0.0, 10.0, /m/01b_21,/m/07bgp,/m/0jbk
ZK0nR3j1pAY, 0.0, 10.0, /m/01b_21,/m/02fs_r,/m/04rlf,/m/09x0r,/m/0dl9sf8,/t/dd00125
ZvKn6e1AZCU, 0.0, 8.0, /m/01b_21
_AjXY9cHCxA, 150.0, 160.0, /m/01b_21,/m/01kcd,/m/04rlf,/m/04szw,/m/09x0r
aAJuPyUvHn8, 20.0, 30.0, /m/01b_21,/m/09x0r,/m/0dl9sf8,/t/dd00125
ao9oox4OiGU, 10.0, 20.0, /m/01b_21
b24uboHG_GE, 0.0, 10.0, /m/01b_21,/m/09x0r,/m/0ytgt
bCOmV_G0pkk, 100.0, 110.0, /m/01b_21,/m/09x0r
c4MUgtiDtDY, 30.0, 40.0, /m/01b_21,/m/09x0r,/m/0lyf6
fDlIO__7vv0, 10.0, 20.0, /m/01b_21,/m/09x0r
j0VnD6MrOjc, 20.0, 30.0, /m/01b_21,/m/03dnzn
lTGJX5f2scI, 80.0, 90.0, /m/01b_21
lvtn_PxRQm4, 120.0, 130.0, /m/01b_21,/m/0dl9sf8
mVamaP3xUw0, 20.0, 30.0, /m/01b_21,/m/09x0r
nfdEAfLG7qQ, 10.0, 20.0, /m/01b_21
oBLLs2UcJbQ, 100.0, 110.0, /m/01b_21,/m/09x0r,/m/0ytgt
ovP1V_dqcKs, 20.0, 30.0, /m/01b_21,/m/09x0r
phcb_32Cmbo, 30.0, 40.0, /m/01b_21,/m/068hy,/m/09x0r,/m/0bt9lr,/m/0dl9sf8,/m/0jbk
qOSdHmfwLF4, 40.0, 50.0, /m/01b_21,/m/04rlf,/m/05fw6t
qW5-hZGGx9U, 120.0, 130.0, /m/01b_21,/m/09x0r
rsH2f778DnM, 30.0, 40.0, /m/01b_21,/m/0dl9sf8
sNCKIJFUj5I, 80.0, 90.0, /m/01b_21,/m/01hsr_
sspVoY8hZEY, 110.0, 120.0, /m/01b_21,/m/09x0r
y5q8M5iRS4A, 10.0, 20.0, /m/01b_21
zWOD_bnFjF8, 40.0, 50.0, /m/01b_21
--U7joUcTCo, 0.0, 10.0, /m/01b_21
0iiwZ2_9Vi8, 90.0, 100.0, /m/01b_21
0mZQ6Q-viPw, 10.0, 20.0, /m/01b_21
130v5XJl8G0, 70.0, 80.0, /m/01b_21,/m/09x0r,/m/0ytgt
1Xmw9VUzvLY, 150.0, 160.0, /m/015p6,/m/01b_21
39IZIbmQPzA, 40.0, 50.0, /m/01b_21,/m/01yrx,/m/068hy,/m/09x0r,/m/0jbk,/m/0lyf6
3Liy9uBgsQM, 60.0, 70.0, /m/01b_21,/m/04rlf,/m/09x0r
3id3zRRZBVM, 50.0, 60.0, /m/01b_21
40fIOkLK3j4, 60.0, 70.0, /m/01b_21
5wbc84KnDS0, 60.0, 70.0, /m/01b_21,/m/0463cq4,/m/09x0r
7lO9BbTaezE, 0.0, 10.0, /m/01b_21,/m/04rlf,/m/09x0r
9h3a7fN0f-c, 240.0, 250.0, /m/01b_21
AIVt3e5EVtc, 70.0, 80.0, /m/01b_21,/m/04rlf,/m/09x0r,/t/dd00125
AlPu_yxLT2g, 230.0, 240.0, /m/01b_21,/t/dd00125
BZU01hhyVKs, 480.0, 490.0, /m/01b_21,/m/09x0r
DYTLct-5tVs, 0.0, 10.0, /m/01b_21
HJg4jZNv1pc, 150.0, 160.0, /m/01b_21,/m/04rlf,/m/09x0r,/m/0ytgt
HMnF8n9c5-Y, 30.0, 40.0, /m/01b_21,/m/0463cq4
IYllzXfvkmY, 20.0, 30.0, /m/01b_21
IwQFUAPEk70, 140.0, 150.0, /m/01b_21,/m/04rlf,/m/09x0r,/m/0ytgt
IzPMbIll3LE, 80.0, 90.0, /m/01b_21
JKUSKYdYo9w, 0.0, 10.0, /m/01b_21
JLtieDCSa6Y, 0.0, 10.0, /m/01b_21,/m/09x0r
Kqt4BiLQeeI, 220.0, 230.0, /m/01b_21,/m/09x0r,/m/0ytgt
MVLEz28ZdFU, 10.0, 20.0, /m/01b_21,/m/09x0r,/t/dd00125
NjazulpHxNY, 20.0, 30.0, /m/01b_21,/m/01yrx,/m/068hy,/m/0jbk
OSlYn9hTRFA, 30.0, 40.0, /m/01b_21,/m/0dl9sf8
OwAUGABGrqk, 30.0, 40.0, /m/01b_21,/m/09x0r
PyXQVNaAbHc, 30.0, 40.0, /m/01b_21,/m/0463cq4,/m/09x0r,/t/dd00002
RFeU64gTvGQ, 0.0, 10.0, /m/01b_21
RXJxtAHtkcs, 0.0, 10.0, /m/01b_21,/m/09x0r,/m/0ytgt
Rr84-EZvO0U, 90.0, 100.0, /m/01b_21,/m/01yrx,/m/02yds9,/m/068hy,/m/0jbk
Rtg1SUrxOPY, 130.0, 140.0, /m/01b_21
S3oZrMGDMMw, 10.0, 20.0, /m/01b_21,/m/09x0r
TA-iHSeEUYk, 40.0, 50.0, /m/01b_21
TB3VhNczX88, 10.0, 20.0, /m/01b_21,/m/09x0r,/m/0ytgt
ThHs0zNnQXg, 20.0, 30.0, /m/01b_21
TjP-9AlPShg, 140.0, 150.0, /m/015p6,/m/01b_21
X8yUSV4oqoU, 30.0, 40.0, /m/01b_21,/m/0dl9sf8
YsUCzO0gfro, 60.0, 70.0, /m/01b_21,/m/09x0r
_-_5kbw2Mcw, 0.0, 10.0, /m/01b_21,/m/04rlf,/m/09x0r
_prGJ06oCXk, 40.0, 50.0, /m/01b_21,/m/09x0r,/m/0ytgt,/t/dd00125
aFfXpjfI2nk, 90.0, 100.0, /m/01b_21,/m/09x0r
fIer0uCLqSM, 30.0, 40.0, /m/01b_21,/m/09x0r
hQMkT2YEnNA, 30.0, 40.0, /m/01b_21
iUtE4nRvBsM, 40.0, 50.0, /m/01b_21,/m/01j3sz,/m/09x0r
j6gaw7Nasnc, 570.0, 580.0, /m/01b_21,/m/04rlf,/m/09x0r
kL_-XdzJQ3g, 0.0, 10.0, /m/01b_21,/m/04rlf
kOheqjodDmw, 50.0, 60.0, /m/01b_21,/m/09x0r,/t/dd00125
khC7ed0_Kvs, 190.0, 200.0, /m/01b_21,/m/09x0r
lH6ym1UrlnE, 120.0, 130.0, /m/01b_21,/m/07mzm6
mQITX62D_3s, 10.0, 20.0, /m/01b_21,/m/09x0r
nBuw_KZXT_k, 10.0, 20.0, /m/01b_21
nK04u0NuenA, 130.0, 140.0, /m/01b_21,/m/09x0r,/t/dd00125
pzsV0Sr5hrE, 0.0, 10.0, /m/01b_21,/m/09x0r
vIBtwK5mH5Q, 60.0, 70.0, /m/01b_21,/m/09x0r
w4enmhllLkQ, 30.0, 40.0, /m/01b_21
wU1xLUAWAyA, 190.0, 200.0, /m/01b_21,/m/09x0r
wuvn-vp5InE, 0.0, 10.0, /m/01b_21
yMNs4gCJn1c, 20.0, 30.0, /m/01b_21,/m/09x0r
-5dCv5_nvU8, 200.0, 210.0, /m/01b_21,/m/09x0r
-C4qMfo3Ywk, 90.0, 100.0, /m/01b_21,/m/09x0r,/t/dd00125
-Mdd8ysxJ5c, 10.0, 20.0, /m/01b_21,/m/09x0r
-OanE09iAA4, 0.0, 10.0, /m/01b_21,/m/02zsn,/m/09x0r
-TEmOxm7_jo, 0.0, 10.0, /m/01b_21,/m/09x0r
-THYRau6Prs, 220.0, 230.0, /m/01b_21,/m/09x0r
-TbcaCBA0pI, 50.0, 60.0, /m/01b_21,/m/09x0r,/m/0ytgt
-UxFUu6iiiY, 320.0, 330.0, /m/01b_21
-VbTE2bPuyw, 210.0, 220.0, /m/01b_21,/m/09x0r
-bZrDCS8KAg, 70.0, 80.0, /m/01b_21
-ej81N6Aqo4, 0.0, 8.0, /m/01b_21
-gvLnl1smfs, 90.0, 100.0, /m/01b_21
-hu5q-Nn4BM, 70.0, 80.0, /m/01b_21
-jLQkyDhIxw, 10.0, 20.0, /m/01b_21,/m/09x0r
-jZav58HEOw, 50.0, 60.0, /m/01b_21
-o2vmOibWF4, 310.0, 320.0, /m/01b_21,/m/09x0r
-szeMToBrRE, 60.0, 70.0, /m/01b_21,/m/01j3sz,/m/09x0r
-vu4jJkffMw, 80.0, 90.0, /m/01b_21,/m/01hsr_,/m/09x0r,/m/0ytgt
-yJtuj9EuMg, 190.0, 200.0, /m/01b_21,/m/09x0r
-zeXIY8V1-E, 30.0, 40.0, /m/01b_21,/m/09x0r
05YBpmCnoOQ, 50.0, 60.0, /m/01b_21,/m/09x0r
0AWF9zOT8YY, 150.0, 160.0, /m/01b_21
0Dh4NhF27jc, 140.0, 150.0, /m/01b_21,/t/dd00125
0EaxcUhZWe8, 40.0, 50.0, /m/01b_21,/m/04rlf,/t/dd00125
0MwZQ1-WZyM, 0.0, 10.0, /m/01b_21,/m/02zsn,/m/09x0r
0QOYirw4e3I, 270.0, 280.0, /m/01b_21,/m/09x0r
0UKv333EMPM, 230.0, 240.0, /m/01b_21,/m/09x0r
0VaWzVLOWvE, 120.0, 130.0, /m/01b_21,/m/09x0r
0WPDmbAui6k, 0.0, 10.0, /m/01b_21,/m/09x0r,/t/dd00125
0XYmlQjyRbw, 250.0, 260.0, /m/01b_21,/m/09x0r
0oUkEze_kmo, 30.0, 40.0, /m/01b_21
0qCvekeAHkc, 210.0, 220.0, /m/01b_21,/m/0261r1
0qktEoIX2Sk, 40.0, 50.0, /m/01b_21
0sDlmseq2Kg, 40.0, 50.0, /m/01b_21,/m/09x0r
0v8MGxNetjg, 10.0, 20.0, /m/01b_21
15lAut5Ry-U, 70.0, 80.0, /m/01b_21,/m/09x0r
1Atum9lE82Y, 490.0, 500.0, /m/01b_21,/m/01h8n0,/m/09x0r
1F234DLNRYc, 10.0, 20.0, /m/01b_21
1JxnLOOUHaw, 220.0, 230.0, /m/01b_21
1MSYO4wgiag, 120.0, 130.0, /m/01b_21
1UDFq2InljM, 10.0, 20.0, /m/01b_21
1VRjLJx7qII, 20.0, 30.0, /m/01b_21,/m/04rlf,/m/09x0r,/m/0ytgt
1_oZWCKCGqA, 10.0, 20.0, /m/01b_21
1a1Dx52izTo, 0.0, 10.0, /m/01b_21,/m/09x0r
1j1duoxdxBg, 70.0, 80.0, /m/01b_21
1td8LDD-HT8, 0.0, 10.0, /m/01b_21
238SBN73bYE, 0.0, 10.0, /m/01b_21,/m/04rlf
2B_QV_5R4Zo, 10.0, 20.0, /m/01b_21,/m/09x0r
2Bx5e9vwLGk, 60.0, 70.0, /m/01b_21,/m/09x0r
2BxY32GiQt8, 420.0, 430.0, /m/01b_21,/m/07qlf79,/m/09x0r
2EFjQPMmAS8, 0.0, 10.0, /m/01b_21,/m/04rlf,/m/09x0r
2Ev7_PQ7IIs, 10.0, 20.0, /m/01b_21,/m/09x0r
2Ez4R0a1icc, 40.0, 50.0, /m/01b_21,/m/09x0r
2Hp1AvKRiOA, 10.0, 20.0, /m/01b_21,/m/01j3sz
2R3J8pH6E6s, 20.0, 30.0, /m/01b_21
2TBWSnIjJMk, 180.0, 190.0, /m/01b_21,/m/01j3sz
2YF-ValJNas, 0.0, 5.0, /m/01b_21
2YNWDIPrLLo, 0.0, 10.0, /m/01b_21,/m/09x0r
2hbytlgqDx4, 140.0, 150.0, /m/01b_21,/m/09x0r,/m/0jbk
2sMLoW22TeU, 0.0, 10.0, /m/01b_21,/m/09x0r
2xURixj6I5k, 20.0, 30.0, /m/01b_21,/m/04rlf,/m/09x0r
33NSh9cvNvI, 50.0, 60.0, /m/01b_21,/m/09x0r
39w1zX48tEg, 50.0, 60.0, /m/01b_21,/m/02rtxlg,/m/09x0r
3Enq7k2IpvQ, 20.0, 30.0, /m/01b_21,/m/01j3sz
3KeyvLYtAWo, 0.0, 10.0, /m/01b_21
3aFProJmJzY, 0.0, 10.0, /m/01b_21,/m/04rlf,/m/09x0r
3bas_0f3RG0, 50.0, 60.0, /m/01b_21,/m/09x0r
3dndmOMZlP8, 100.0, 110.0, /m/01b_21,/m/09x0r
3fJcwTKow5c, 100.0, 110.0, /m/01b_21,/m/09x0r
3fz-0wek44c, 0.0, 10.0, /m/01b_21,/m/09x0r,/t/dd00125
3gFShyvw8iU, 70.0, 80.0, /m/01b_21
3nOZJicBKkU, 90.0, 100.0, /m/01b_21,/m/09x0r
3vYB7hZxQgA, 10.0, 20.0, /m/01b_21
42RAaEB-Jgs, 110.0, 120.0, /m/01b_21
43FtU9nHMxc, 0.0, 10.0, /m/01b_21,/m/09x0r
43MaVucRguE, 20.0, 30.0, /m/01b_21,/m/04rlf,/m/09x0r
44nJyshuBYk, 20.0, 30.0, /m/01b_21,/m/068hy,/m/09x0r,/m/0bt9lr,/m/0jbk
46IWQpa2v64, 90.0, 100.0, /m/01b_21,/m/09x0r
4D7lyuJcwcc, 0.0, 10.0, /m/01b_21,/m/04rlf,/m/09x0r
4K946lkrL9U, 30.0, 40.0, /m/01b_21
4R36RB74SUQ, 10.0, 20.0, /m/01b_21
4_0uUL2HPe0, 0.0, 10.0, /m/01b_21,/m/09x0r
4eb2LU3X_zs, 0.0, 10.0, /m/01b_21,/m/04rlf,/m/09x0r
4jQ8ffBxWkk, 70.0, 80.0, /m/01b_21,/m/0261r1,/m/09x0r
4lOXjW8rpxU, 0.0, 10.0, /m/01b_21,/m/01d3sd
4ldID97D-oU, 20.0, 30.0, /m/01b_21,/m/09x0r
4rPNHAf-0Qw, 30.0, 40.0, /m/01b_21,/m/09x0r
4txOUgXllWE, 300.0, 310.0, /m/01b_21,/m/09x0r
4vyk0EIJGWY, 0.0, 10.0, /m/01b_21
4xQcOwfV48Y, 40.0, 50.0, /m/01b_21,/m/09x0r
4yFWcSkby5w, 30.0, 40.0, /m/01b_21
5905FxXz9dI, 30.0, 40.0, /m/01b_21,/m/0dl9sf8
5hmDPsZnmf4, 30.0, 40.0, /m/01b_21
5jznaeFpsJU, 0.0, 10.0, /m/01b_21,/m/09x0r
5l9qTa5OAL8, 220.0, 230.0, /m/01b_21,/m/04rlf
5r9Ixli8hnc, 0.0, 10.0, /m/01b_21
60NM10sTc9c, 20.0, 30.0, /m/01b_21,/m/09x0r,/m/0lyf6
622yM7-bvIQ, 10.0, 20.0, /m/01b_21
644TTouN1IM, 40.0, 50.0, /m/01b_21,/m/09x0r
64Ymtt704So, 50.0, 60.0, /m/01b_21,/m/01j3sz,/m/09x0r
6K_sU6-dp0Q, 30.0, 40.0, /m/01b_21,/m/04rlf
6OatUcXF4nk, 0.0, 10.0, /m/015lz1,/m/01b_21,/m/09x0r,/t/dd00003
6PdQjCUz-S4, 260.0, 270.0, /m/01b_21,/m/09x0r,/m/0ytgt
6cCmLjEFkzs, 230.0, 240.0, /m/01b_21
6iz8Jk8Hvwg, 240.0, 250.0, /m/01b_21
6l52kPskdRI, 350.0, 360.0, /m/01b_21,/m/09x0r
6lbkx_tf50g, 220.0, 230.0, /m/01b_21
6nTcsNoIGDw, 50.0, 60.0, /m/01b_21
6pyURnYYMwo, 20.0, 30.0, /m/01b_21,/m/01j3sz
6uW93XzK0Xw, 0.0, 10.0, /m/01b_21,/m/09x0r
7-MnR3o0iAs, 120.0, 130.0, /m/01b_21,/m/09x0r
707CXFQe114, 0.0, 10.0, /m/01b_21,/m/07plz5l,/m/09x0r
7GBy8CUVUhU, 0.0, 10.0, /m/01b_21,/m/09x0r
7IMXwGU4Ja0, 40.0, 50.0, /m/01b_21,/m/09x0r
7J9eEukmoIA, 10.0, 20.0, /m/01b_21,/m/09x0r
7PbmVAZrObA, 170.0, 180.0, /m/01b_21
7QkwmMU4w1M, 220.0, 230.0, /m/01b_21,/m/09x0r,/t/dd00128
7_v8jFFo9SM, 50.0, 60.0, /m/01b_21
7hQ-7sWi8W0, 30.0, 40.0, /m/01b_21
7pqRqXjqeX4, 330.0, 340.0, /m/01b_21,/m/09x0r
7xSTAmKAsFE, 120.0, 130.0, /m/01b_21,/m/0lyf6
82AH3rqGLBI, 40.0, 50.0, /m/01b_21
87gy1S4dSw8, 30.0, 40.0, /m/01b_21,/m/0dl9sf8
89ZJ46zuxRY, 40.0, 50.0, /m/01b_21,/m/09x0r,/m/0ytgt
8FEQuq03bgU, 40.0, 50.0, /m/01b_21,/m/01hsr_,/m/09x0r
8FXX56zpypA, 30.0, 40.0, /m/01b_21,/m/02p3nc,/m/09x0r
8If9muUC-ZI, 30.0, 40.0, /m/01b_21
8IhJllXxBlQ, 30.0, 40.0, /m/01b_21,/m/0dl9sf8
8ieJbzu7ql8, 20.0, 30.0, /m/01b_21,/m/09x0r
8yDeG7e1-9I, 10.0, 20.0, /m/01b_21,/m/09x0r
9-XHdlyHhaQ, 30.0, 40.0, /m/01b_21,/m/02zsn,/m/09x0r,/m/0dl9sf8
96ey8FQVfUY, 10.0, 20.0, /m/01b_21,/m/04rlf,/m/09x0r
9AGw1Zz5Cvw, 330.0, 340.0, /m/01b_21,/m/09x0r,/t/dd00126
9KNqsONT3-Y, 70.0, 80.0, /m/01b_21
9P8waFCqbOQ, 90.0, 100.0, /m/01b_21,/m/09x0r
9RjZr8V8PNY, 120.0, 130.0, /m/01b_21
9WNz_rrwLFE, 20.0, 30.0, /m/01b_21,/m/04rlf,/m/09x0r
9WbIa8U8twQ, 270.0, 280.0, /m/01b_21,/m/09x0r,/t/dd00125
9XSE1pdHwSU, 0.0, 10.0, /m/01b_21
9Zl4VUruA9I, 120.0, 130.0, /m/01b_21
9_PvnvCyKc8, 10.0, 20.0, /m/01b_21
9hl4R896W3Y, 100.0, 110.0, /m/01b_21
9k1ZuVzpF7c, 40.0, 50.0, /m/01b_21,/m/01j3sz,/m/0463cq4
9kY53W3S_dE, 0.0, 10.0, /m/01b_21,/m/09x0r
9pX8I7KzQAI, 10.0, 20.0, /m/01b_21,/m/09x0r,/m/0ytgt
9xpJWu2rNsY, 10.0, 20.0, /m/01b_21,/m/04rlf
9yAGKsPDM14, 80.0, 90.0, /m/01b_21,/m/0lyf6
A2QXDa7s4X4, 50.0, 60.0, /m/01b_21
A5s2ZgwQ1VM, 90.0, 100.0, /m/01b_21
A6Ib82-X4Es, 20.0, 30.0, /m/01b_21,/m/068hy,/m/0bt9lr,/m/0jbk
AZi2U9-bC2E, 50.0, 60.0, /m/01b_21,/m/09x0r
AeWINP1ELkg, 40.0, 50.0, /m/01b_21,/m/01j3sz
AjbyESmmyts, 70.0, 80.0, /m/01b_21,/m/09x0r,/m/0ytgt
AnFLES8rJfw, 10.0, 20.0, /m/01b_21,/m/09x0r
AnrcPBN7yms, 10.0, 20.0, /m/01b_21,/m/09x0r
Ao0n1cqfFDw, 20.0, 30.0, /m/01b_21,/m/01j3sz,/m/09x0r
B-aFrS47bY8, 0.0, 10.0, /m/01b_21,/m/09x0r
B3QGXdH9ttw, 160.0, 170.0, /m/01b_21,/m/01d3sd,/m/09x0r
B4dHtSx7OGc, 60.0, 70.0, /m/01b_21
B9qFfAmjrfE, 0.0, 10.0, /m/01b_21,/m/04rlf
BCx-qhmHoZI, 50.0, 60.0, /m/01b_21,/m/09x0r
BG9oq6EH8xE, 30.0, 40.0, /m/01b_21,/m/09x0r
BJZFDdIhBaU, 10.0, 20.0, /m/01b_21
BLZw2_PhyJk, 30.0, 40.0, /m/01b_21,/m/04rlf
BNFqCbChd6s, 50.0, 60.0, /m/01b_21,/m/09x0r
BNRW9HvOF4s, 100.0, 110.0, /m/01b_21
BP7V4MBMekQ, 0.0, 8.0, /m/01b_21
BR6UqPUqYsQ, 50.0, 60.0, /m/01b_21
